Name,State/Territory,Category,Type,Created,Updated
LADWP - Charge up LA Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,2021-07-03,2023-06-15
LADWP - Charge Up LA Used Electric Vehicle Program,CA,Financial Incentive,Rebate Program,2021-07-03,2023-07-05
PG&E - EV Fleet Program,CA,Financial Incentive,Rebate Program,2021-07-07,2023-07-05
PG&E - EV Fast Charge Program,CA,Financial Incentive,Rebate Program,2021-07-08,2023-07-05
Pasadena Water and Power - Residential Electric Vehicle and Charger Incentive Program,CA,Financial Incentive,Rebate Program,2021-07-08,2023-07-05
Pasadena Water and Power - Commercial Charger Incentive Program,CA,Financial Incentive,Rebate Program,2021-07-08,2023-07-05
SMUD - Commercial Electric Vehicle Incentive Program,CA,Financial Incentive,Rebate Program,2021-07-09,2023-07-05
SDG&E - Power Your Drive Program,CA,Financial Incentive,Rebate Program,2021-07-15,2023-07-03
SCE - Charge Ready Program,CA,Financial Incentive,Rebate Program,2021-07-15,2023-07-05
Technology and Equipment for Clean Heating (TECH) Initiative,CA,Financial Incentive,Rebate Program,2022-02-11,2023-07-07
Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,2022-05-25,2022-05-25
Enhanced Community Renewables Program,CA,Regulatory Policy,Community Solar Rules,2022-05-31,2022-06-08
Modesto Irrigation District - Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,2023-06-15,2023-06-15
Redding Electric - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,2023-06-15,2023-06-15
PG&E GoGreen Business Energy Financing,CA,Financial Incentive,Loan Program,2023-08-02,2023-08-02
Marin Clean Energy - Feed-In Tariff Plus,CA,Financial Incentive,Feed-in Tariff,2024-05-24,2024-05-24
California - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,CA,Financial Incentive,Grant Program,2024-06-11,2024-06-11
Bay Area Regional Energy Network (BayREN) - Single Family Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2024-07-29,2024-07-29
Bay Area Regional Energy Network (BayREN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2024-07-29,2024-07-29
Tri-County Regional Energy Network (3C-REN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2024-07-31,2024-07-31
Southern California Regional Energy Network (SoCalREN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,2024-07-31,2024-08-01
California - Home Electrification and Appliance Rebate (HEAR) Program,CA,Financial Incentive,Rebate Program,2024-10-09,2024-10-09
Renewable Energy Standard,CO,Regulatory Policy,Renewables Portfolio Standard,2004-11-04,2023-12-05
Colorado Solar/Wind Easements and Rights Law,CO,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-10-30
Mandatory Photovoltaic System Cost Estimate,CO,Regulatory Policy,Line Extension Analysis,2000-01-01,2020-12-19
Net Metering,CO,Regulatory Policy,Net Metering,2004-12-16,2024-08-14
City of Boulder - Green Points Building Program,CO,Regulatory Policy,Building Energy Code,2001-02-02,2022-07-20
Holy Cross Energy - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,2005-05-17,2022-06-07
City of Aspen and Pitkin County - Renewable Energy Mitigation Program,CO,Regulatory Policy,Building Energy Code,2000-01-01,2020-06-11
City of Boulder - Solar Access Ordinance,CO,Regulatory Policy,Solar/Wind Access Policy,2001-02-02,2023-10-20
Fuel Mix Disclosure,CO,Regulatory Policy,Generation Disclosure,2001-11-30,2023-08-09
Roaring Fork Valley - Energy Smart Colorado Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,2002-09-25,2023-03-24
Xcel Energy - Solar*Rewards Program,CO,Financial Incentive,Performance-Based Incentive,2005-12-06,2023-03-24
Interconnection Standards,CO,Regulatory Policy,Interconnection,2005-12-20,2024-05-29
Fort Collins Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-03-13,2023-06-20
Fort Collins Utilities - Home Efficiency Loan Program,CO,Financial Incentive,Loan Program,2006-03-13,2024-08-06
Xcel Energy - Commercial Energy Efficiency Rebate Programs,CO,Financial Incentive,Rebate Program,2006-06-05,2024-05-30
Xcel Energy - Residential Energy Efficiency Rebate Programs,CO,Financial Incentive,Rebate Program,2006-06-05,2024-08-07
Greening of State Government,CO,Regulatory Policy,Energy Standards for Public Buildings,2006-06-30,2024-06-07
Colorado Springs Utilities - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-07-10,2024-08-06
Colorado Springs Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-07-10,2024-08-06
Black Hills Energy - Solar Power Program,CO,Financial Incentive,Performance-Based Incentive,2006-07-17,2021-05-22
Building Energy Code,CO,Regulatory Policy,Building Energy Code,2006-07-28,2023-05-23
Holy Cross Energy - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-08-25,2023-06-23
"Mountain View Electric Association, Inc - Energy Efficiency Rebates Program",CO,Financial Incentive,Rebate Program,2006-08-31,2024-08-08
United Power - Residential Energy Efficient Appliance Rebate Program,CO,Financial Incentive,Rebate Program,2006-08-31,2024-08-05
City of Boulder - Climate Action Plan Fund,CO,Regulatory Policy,Public Benefits Fund,2006-11-15,2021-07-28
Renewable Energy Property Tax Assessment,CO,Financial Incentive,Property Tax Incentive,2007-02-16,2023-12-04
Sangre De Cristo Electric Association - Energy Efficiency Credit Program,CO,Financial Incentive,Rebate Program,2007-03-04,2024-05-20
Mandatory Green Power Option for Large Municipal Utilities,CO,Regulatory Policy,Mandatory Utility Green Power Option,2007-04-10,2021-08-27
Local Option - Property Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Property Tax Incentive,2007-04-27,2023-12-06
Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Sales Tax Incentive,2007-04-27,2023-02-24
Fort Collins - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,2007-11-27,2024-06-24
Clean Energy Fund,CO,Regulatory Policy,Public Benefits Fund,2008-02-06,2021-07-26
City of Denver - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,2008-04-11,2024-06-24
City of Boulder - Solar Grant Program,CO,Financial Incentive,Grant Program,2008-05-28,2022-07-20
Solar Construction Permitting Standards,CO,Regulatory Policy,Solar/Wind Permitting Standards,2008-05-29,2023-03-04
Atmos Energy (Gas) - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-03-23,2023-03-24
Colorado Natural Gas - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-03-23,2024-08-08
Gunnison County Electric - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-05-08,2024-06-03
Sales and Use Tax Exemption for Renewable Energy Equipment,CO,Financial Incentive,Sales Tax Incentive,2009-05-27,2024-06-21
La Plata Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-08-05,2024-05-31
Delta-Montrose Electric Association - Residential Weatherization Rebate Program,CO,Financial Incentive,Rebate Program,2009-08-06,2024-08-21
Empire Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-08-07,2024-08-22
Black Hills Energy (Gas) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,2009-09-16,2024-05-10
Black Hills Energy (Gas) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,2009-09-16,2024-05-10
Morgan County REA - Efficiency Credit/Rebate Programs,CO,Financial Incentive,Rebate Program,2009-09-24,2024-08-19
City of Boulder - Solar Sales and Use Tax Rebate,CO,Financial Incentive,Sales Tax Incentive,2010-04-08,2023-03-24
Southeast Colorado Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2010-05-13,2024-05-17
Property Tax Exemption for Residential Renewable Energy Equipment,CO,Financial Incentive,Property Tax Incentive,2010-06-16,2023-12-04
Colorado Springs Utilities - Builder Incentive Program,CO,Financial Incentive,Rebate Program,2010-06-24,2024-07-26
Black Hills Energy (Electric) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,2010-08-04,2023-03-29
Black Hills Energy (Electric) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,2010-08-05,2024-11-15
San Miguel Power Association - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,2010-08-16,2023-03-24
San Miguel Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2010-08-24,2024-05-23
Energy Efficiency Resource Standard,CO,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-10,2024-10-11
Boulder County - EnergySmart Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2011-02-14,2023-06-23
United Power - Commercial and Industrial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-08-31,2024-08-05
City of Aspen - Rebate Program,CO,Financial Incentive,Rebate Program,2011-03-28,2023-03-24
Poudre Valley REA - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2006-08-31,2024-08-14
Roaring Fork Valley - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2011-06-01,2023-07-07
Loveland Water & Power - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2011-04-29,2024-08-28
San Isabel Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2012-03-14,2023-03-28
Empire Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2009-08-07,2024-08-28
Holy Cross Energy - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2012-05-09,2024-08-05
Xcel Energy - Solar Rewards Program,CO,Financial Incentive,Performance-Based Incentive,2012-08-15,2022-11-18
Boulder County - Elevations Energy Loans,CO,Financial Incentive,Loan Program,2012-09-26,2022-07-20
City and County of Denver - Elevations Energy Loans,CO,Financial Incentive,Loan Program,2012-09-26,2020-08-06
City and County of Denver - Solar Panel Permitting,CO,Regulatory Policy,Solar/Wind Permitting Standards,2012-12-07,2024-05-29
Colorado Residential Energy Upgrade (RENU) Loan program,CO,Financial Incentive,Loan Program,2012-12-12,2022-07-21
Eagle County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2014-03-27,2023-03-24
City of Aspen and Pitkin County - Renewable Energy Mitigation Program Grants,CO,Financial Incentive,Grant Program,2014-10-02,2022-09-23
Summit County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2014-10-09,2023-06-21
Lake County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2014-10-09,2023-07-07
Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2014-10-10,2024-06-03
Green Colorado Credit Reserve,CO,Financial Incentive,Loan Program,2014-11-05,2022-07-20
Xcel Energy - Residential Energy Efficiency Financing,CO,Financial Incentive,Loan Program,2014-12-03,2024-05-28
Xcel Energy - Commercial Energy Efficiency Financing,CO,Financial Incentive,Loan Program,2014-12-03,2024-05-28
Efficiency Works - Business Energy Efficiency Rebate Program (Offered by 4 Utilities),CO,Financial Incentive,Rebate Program,2015-07-06,2024-08-23
Efficiency Works - Residential Energy Efficiency Rebate Program (Offered by 4 Utilities),CO,Financial Incentive,Rebate Program,2015-07-08,2024-08-26
C-PACE: Colorado Commercial Property Assessed Clean Energy,CO,Financial Incentive,PACE Financing,2016-05-24,2024-01-02
Residential Energy Upgrade (RENU) Loan Program,CO,Financial Incentive,Loan Program,2018-08-03,2023-01-27
San Isabel Electric Association - Commercial Lighting Rebate Program,CO,Financial Incentive,Rebate Program,2019-05-21,2024-05-21
La Plata Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2019-05-22,2024-05-23
Community Solar Gardens and Community Geothermal Gardens,CO,Regulatory Policy,Community Solar Rules,2020-08-28,2023-02-23
Electric Vehicle Income Tax Credit,CO,Financial Incentive,Personal Tax Credit,2021-05-21,2023-06-02
Charge Ahead Colorado,CO,Financial Incentive,Grant Program,2021-05-21,2021-12-08
ALT Fuels Colorado,CO,Financial Incentive,Grant Program,2021-05-21,2021-12-31
Energy Impact Assistance Fund Grant Program,CO,Financial Incentive,Grant Program,2021-05-21,2021-12-31
Electric Vehicle Fast-Charging Plazas Program,CO,Financial Incentive,Grant Program,2021-05-21,2021-12-31
Colorado Appliance and Equipment Energy Efficiency Standards,CO,Regulatory Policy,Appliance/Equipment Efficiency Standards,2021-07-08,2024-10-24
Black Hills Energy - Ready EV Electric Vehicle Charging Rebate,CO,Financial Incentive,Rebate Program,2021-07-16,2023-07-05
Gunnison County Electric - Electric Vehicle Rebates,CO,Financial Incentive,Rebate Program,2021-07-16,2024-06-03
Holy Cross Energy - EV Charger Incentives,CO,Financial Incentive,Rebate Program,2021-07-16,2023-07-03
San Isabel Electric Association - Electric Vehicle Incentives,CO,Financial Incentive,Rebate Program,2021-07-16,2023-07-05
Boulder County - Partners for a Clean Environment (PACE) rebates,CO,Financial Incentive,Rebate Program,2022-07-20,2022-07-20
Sales Tax Exemption for Energy Storage Systems,CO,Financial Incentive,Sales Tax Incentive,2023-02-22,2023-12-04
Tax Credit for Residential Energy Storage Systems,CO,Financial Incentive,Personal Tax Credit,2023-02-22,2023-12-05
Sustainable Rebuilding Program,CO,Financial Incentive,Grant Program,2023-02-22,2023-12-04
Sustainable Rebuilding Program,CO,Financial Incentive,Loan Program,2023-02-22,2023-02-22
City of Denver - Green Building Ordinance,CO,Regulatory Policy,Building Energy Code,2024-07-18,2024-07-18
Colorado - Home Electrification and Appliance Rebate (HEAR) Program,CO,Financial Incentive,Rebate Program,2024-11-11,2024-11-11
Connecticut Clean Energy Fund,CT,Regulatory Policy,Public Benefits Fund,2000-01-01,2021-07-28
Renewables Portfolio Standard,CT,Regulatory Policy,Renewables Portfolio Standard,2000-01-01,2023-12-05
Fuel Mix and Emissions Disclosure,CT,Regulatory Policy,Generation Disclosure,2001-01-01,2023-08-09
Property Tax Exemption for Renewable Energy Systems,CT,Financial Incentive,Property Tax Incentive,2000-01-01,2023-03-20
Residential Renewable Energy Solutions,CT,Regulatory Policy,Net Metering,2000-01-01,2024-08-14
Solar and Wind Contractor Licensing,CT,Regulatory Policy,Solar/Wind Contractor Licensing,2000-01-01,2020-07-18
Interconnection Standards,CT,Regulatory Policy,Interconnection,2004-02-12,2024-05-30
Connecticut Green Power Purchase Plan,CT,Regulatory Policy,Green Power Purchasing,2004-04-23,2021-08-30
Smart-E loans,CT,Financial Incentive,Loan Program,2006-04-21,2021-05-27
Connecticut Appliance and Equipment Energy Efficiency Standards,CT,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-01,2024-10-30
Groton Utilities - Residential Energy Efficiency Rebate Program,CT,Financial Incentive,Rebate Program,2006-07-11,2024-04-29
Groton Utilities - Commercial & Industrial Energy Efficiency Rebate Programs,CT,Financial Incentive,Rebate Program,2006-07-11,2024-07-25
Energy Efficiency Fund,CT,Regulatory Policy,Public Benefits Fund,2006-09-27,2021-07-26
